C3,CZ,C4
2.2574754,3.623376,5.8202257
2.1940684,3.5216022,5.6567454
2.130669,3.4198413,5.4932847
2.0672815,3.3180988,5.329855
2.0039492,3.2164474,5.166572
1.9407398,3.1149936,5.003608
1.8777168,3.01384,4.841127
1.8149172,2.913045,4.679221
1.7523392,2.812605,4.517886
1.6899447,2.7124584,4.357021
1.6276752,2.6125114,4.196475
1.5654739,2.5126736,4.036104
1.5033076,2.4128916,3.8758228
1.4411759,2.3131657,3.7156324
1.3791109,2.213548,3.5556161
1.3171628,2.1141186,3.3959036
1.2553806,2.014956,3.23662
1.1937945,1.9161081,3.0778422
1.1324055,1.8175763,2.9195714
1.0711871,1.7193176,2.7617383
1.0100962,1.6212627,2.6042325
0.9490903,1.5233438,2.4469445
0.8881424,1.4255179,2.2898057
0.82725,1.3277816,2.1328113
0.76643455,1.2301692,1.9760164
0.70573175,1.1327382,1.8195137
0.6451779,1.0355469,1.6633959
0.5847965,0.93863225,1.5077231
0.5245907,0.8419993,1.3525022
0.4645434,0.7456203,1.1976888
0.40462503,0.6494476,1.0432065
0.3448047,0.55343205,0.88897604
0.28506172,0.45754048,0.7349447
0.225392,0.3617667,0.58110285
0.16580833,0.26613143,0.42748383
0.10633446,0.1706728,0.27414894
0.04699571,0.07543137,0.12116317
-0.012190221,-0.019564696,-0.031428345
-0.07121895,-0.114308566,-0.1836149
-0.13009992,-0.20881557,-0.33542126
-0.18885197,-0.30311602,-0.4868961
-0.24749589,-0.39724314,-0.6380928
-0.306047,-0.4912214,-0.78905046
-0.36451027,-0.58505857,-0.9397815
-0.42287958,-0.6787448,-1.0902697
-0.48114094,-0.7722574,-1.2404789
-0.539278,-0.8655703,-1.3903672
-0.5972782,-0.95866346,-1.5399022
-0.6551364,-1.0515288,-1.6890714
-0.71285635,-1.1441723,-1.8378844
-0.77044827,-1.2366104,-1.9863677
-0.8279248,-1.3288635,-2.134554
-0.8852965,-1.4209487,-2.2824705
-0.94256896,-1.5128742,-2.430131
-0.9997409,-1.6046386,-2.5775318
-1.0568057,-1.6962311,-2.7246568
-1.1137547,-1.7876372,-2.8714826
-1.1705793,-1.8788437,-3.017987
-1.2272743,-1.969842,-3.1641574
-1.283839,-2.0606313,-3.3099923
-1.3402773,-2.1512177,-3.4555008
-1.3965951,-2.241611,-3.6007
-1.4527998,-2.3318226,-3.7456067
-1.5088962,-2.4218607,-3.8902347
-1.5648869,-2.5117292,-4.0345902
-1.6207713,-2.6014266,-4.178672
-1.6765456,-2.6909478,-4.322469
-1.732205,-2.780284,-4.4659705
-1.7877445,-2.8694277,-4.609162
-1.8431605,-2.9583735,-4.7520347
-1.8984522,-3.0471194,-4.894587
-1.9536206,-3.1356676,-5.0368223
-2.0086696,-3.2240243,-5.1787496
-2.0636044,-3.3121974,-5.3203826
-2.1184294,-3.4001951,-5.461733
-2.1731482,-3.488022,-5.602809
-2.2277613,-3.575679,-5.743613
-2.2822661,-3.6631625,-5.8841376
-2.3366587,-3.7504656,-6.024372
-2.3909333,-3.8375793,-6.164303
-2.4450855,-3.9244964,-6.3039174
-2.4991136,-4.0112143,-6.443212
-2.5530186,-4.0977345,-6.5821896
-2.606805,-4.184065,-6.720862
-2.6604795,-4.270215,-6.8592453
-2.7140472,-4.356195,-6.997354
-2.7675118,-4.4420085,-7.1351976
